,GCA_024169515.1,GCA_918698235.1,GCA_014773485.1
Cluster_0,OCILAMFM_00111,LBGCNHPF_02539,OEIEKCCN_02232
Cluster_1,OCILAMFM_04027,,OEIEKCCN_03649
Cluster_2,,,OEIEKCCN_04206
Cluster_3,OCILAMFM_04171,,
Cluster_4,OCILAMFM_04138,LBGCNHPF_03507,OEIEKCCN_03842
Cluster_5,OCILAMFM_03717,LBGCNHPF_00292,OEIEKCCN_03879;OEIEKCCN_01315
Cluster_6,,LBGCNHPF_02373,OEIEKCCN_02066
Cluster_7,,,OEIEKCCN_00329
Cluster_8,OCILAMFM_01951,,
Cluster_9,OCILAMFM_01898,LBGCNHPF_00667,OEIEKCCN_01954
Cluster_10,OCILAMFM_00403,LBGCNHPF_01831,OEIEKCCN_02498
Cluster_11,,LBGCNHPF_04321,
Cluster_12,OCILAMFM_01113,LBGCNHPF_02025,OEIEKCCN_02598
Cluster_13,,,OEIEKCCN_03077
Cluster_14,,LBGCNHPF_02341,
Cluster_15,OCILAMFM_03346,,
Cluster_16,,LBGCNHPF_02342,
Cluster_17,OCILAMFM_00385,,
Cluster_18,OCILAMFM_02206,LBGCNHPF_00925,OEIEKCCN_01697
Cluster_19,,LBGCNHPF_02182,
Cluster_20,OCILAMFM_03037,LBGCNHPF_01358,OEIEKCCN_00685
Cluster_21,,,OEIEKCCN_03684
Cluster_22,OCILAMFM_01797,LBGCNHPF_04331,OEIEKCCN_00512
Cluster_23,OCILAMFM_01443,LBGCNHPF_02724,OEIEKCCN_04265
Cluster_24,OCILAMFM_01796,LBGCNHPF_04330,OEIEKCCN_00513
Cluster_25,OCILAMFM_04309,,
Cluster_26,OCILAMFM_03363,LBGCNHPF_03626,OEIEKCCN_00937
Cluster_27,OCILAMFM_02235,LBGCNHPF_00957,OEIEKCCN_01671
Cluster_28,OCILAMFM_00423,LBGCNHPF_01851,OEIEKCCN_02518
Cluster_29,OCILAMFM_03636,LBGCNHPF_00378,OEIEKCCN_01231
Cluster_30,,LBGCNHPF_00733,OEIEKCCN_01889
Cluster_31,OCILAMFM_01136,LBGCNHPF_02003,OEIEKCCN_02576
Cluster_32,OCILAMFM_02043,LBGCNHPF_00816,OEIEKCCN_01806
Cluster_33,OCILAMFM_01824,LBGCNHPF_04430,OEIEKCCN_02028
Cluster_34,,,OEIEKCCN_03688
Cluster_35,,LBGCNHPF_00418,OEIEKCCN_01191
Cluster_36,OCILAMFM_02179,LBGCNHPF_00905,OEIEKCCN_01717
Cluster_37,OCILAMFM_02242,LBGCNHPF_00964,OEIEKCCN_01664
Cluster_38,OCILAMFM_01977,,
Cluster_39,OCILAMFM_03754,LBGCNHPF_00266,OEIEKCCN_01349;OEIEKCCN_03913
Cluster_40,OCILAMFM_03214,LBGCNHPF_01235,OEIEKCCN_00806
Cluster_41,OCILAMFM_00664,LBGCNHPF_03268,OEIEKCCN_03030
Cluster_42,,LBGCNHPF_01100,
Cluster_43,,LBGCNHPF_03221,
Cluster_44,OCILAMFM_02430,LBGCNHPF_03988,OEIEKCCN_01475
Cluster_45,,LBGCNHPF_01099,
Cluster_46,OCILAMFM_03241,LBGCNHPF_01208,OEIEKCCN_00833
Cluster_47,OCILAMFM_03012,LBGCNHPF_01383,OEIEKCCN_00660
Cluster_48,,LBGCNHPF_03083,OEIEKCCN_03381
Cluster_49,OCILAMFM_01102,,
Cluster_50,OCILAMFM_03867,,
Cluster_51,,LBGCNHPF_00159,OEIEKCCN_04024
Cluster_52,OCILAMFM_04343,,
Cluster_53,OCILAMFM_00533,LBGCNHPF_01927,OEIEKCCN_00400
Cluster_54,OCILAMFM_00666,LBGCNHPF_03270,OEIEKCCN_03028
Cluster_55,OCILAMFM_02565,LBGCNHPF_03164,OEIEKCCN_03461
Cluster_56,,LBGCNHPF_01641,
Cluster_57,OCILAMFM_00003,LBGCNHPF_02440,OEIEKCCN_02133
Cluster_58,OCILAMFM_02007,LBGCNHPF_00780,OEIEKCCN_01842
Cluster_59,,LBGCNHPF_04483,
Cluster_60,,,OEIEKCCN_04360
Cluster_61,,LBGCNHPF_01126,
Cluster_62,,,OEIEKCCN_04361
Cluster_63,OCILAMFM_02273,LBGCNHPF_00994,OEIEKCCN_01634
Cluster_64,,LBGCNHPF_01636,
Cluster_65,OCILAMFM_01459,LBGCNHPF_02741,OEIEKCCN_04249
Cluster_66,OCILAMFM_03164,,
Cluster_67,OCILAMFM_00684,LBGCNHPF_03288,OEIEKCCN_03010
Cluster_68,,LBGCNHPF_00420,OEIEKCCN_01189
Cluster_69,OCILAMFM_02635,LBGCNHPF_03092,OEIEKCCN_03390
Cluster_70,,LBGCNHPF_02180,
Cluster_71,OCILAMFM_01979,,
Cluster_72,OCILAMFM_00687,LBGCNHPF_03291,OEIEKCCN_03007
Cluster_73,OCILAMFM_02112,,
Cluster_74,OCILAMFM_03786,,
Cluster_75,OCILAMFM_00008,LBGCNHPF_02445,OEIEKCCN_02138
Cluster_76,OCILAMFM_00333,LBGCNHPF_01765,OEIEKCCN_02432
Cluster_77,OCILAMFM_02847,LBGCNHPF_01558,OEIEKCCN_03177
Cluster_78,OCILAMFM_00683,LBGCNHPF_03287,OEIEKCCN_03011
Cluster_79,OCILAMFM_02526,LBGCNHPF_03750,OEIEKCCN_00191
Cluster_80,OCILAMFM_02560,LBGCNHPF_03171,OEIEKCCN_03468
Cluster_81,OCILAMFM_04352,,
Cluster_82,OCILAMFM_00009,LBGCNHPF_02446,OEIEKCCN_02139
Cluster_83,OCILAMFM_03931,LBGCNHPF_00095,OEIEKCCN_03542;OEIEKCCN_04099
Cluster_84,,LBGCNHPF_02177,
Cluster_85,,LBGCNHPF_04173,
Cluster_86,OCILAMFM_04388,,
Cluster_87,OCILAMFM_03706,LBGCNHPF_00305,OEIEKCCN_01302
Cluster_88,OCILAMFM_04298,,
Cluster_89,OCILAMFM_02284,LBGCNHPF_01011,OEIEKCCN_01617
Cluster_90,,,OEIEKCCN_03686
Cluster_91,OCILAMFM_00665,LBGCNHPF_03269,OEIEKCCN_03029
Cluster_92,,LBGCNHPF_00741,OEIEKCCN_01881
Cluster_93,OCILAMFM_00721,LBGCNHPF_03842,OEIEKCCN_02976
Cluster_94,OCILAMFM_00994,LBGCNHPF_02144,OEIEKCCN_02717
Cluster_95,OCILAMFM_00115,LBGCNHPF_02544,OEIEKCCN_02236
Cluster_96,OCILAMFM_01867,LBGCNHPF_00635,OEIEKCCN_01986
Cluster_97,OCILAMFM_02266,LBGCNHPF_00988,OEIEKCCN_01640
Cluster_98,OCILAMFM_00921,LBGCNHPF_02228,OEIEKCCN_02787
Cluster_99,OCILAMFM_02827,LBGCNHPF_02898,OEIEKCCN_03197
Cluster_100,OCILAMFM_01592,LBGCNHPF_03308,OEIEKCCN_00112
Cluster_101,OCILAMFM_04061,LBGCNHPF_03424,OEIEKCCN_03699
Cluster_102,,LBGCNHPF_02029,OEIEKCCN_02602
Cluster_103,,LBGCNHPF_00153,
Cluster_104,OCILAMFM_04176,,
Cluster_105,,LBGCNHPF_04272,
Cluster_106,OCILAMFM_00145,LBGCNHPF_02570,OEIEKCCN_02262
Cluster_107,OCILAMFM_00643,LBGCNHPF_03248,OEIEKCCN_03050
Cluster_108,OCILAMFM_01269,LBGCNHPF_03591,OEIEKCCN_04430
Cluster_109,,LBGCNHPF_04302,
Cluster_110,OCILAMFM_02317,LBGCNHPF_01044,OEIEKCCN_01584
Cluster_111,,LBGCNHPF_00722,OEIEKCCN_01900
Cluster_112,OCILAMFM_01061,LBGCNHPF_02077,OEIEKCCN_02650
Cluster_113,OCILAMFM_03550,LBGCNHPF_00496,OEIEKCCN_01134
Cluster_114,OCILAMFM_01420,LBGCNHPF_02701,OEIEKCCN_04288
Cluster_115,OCILAMFM_03585,LBGCNHPF_00440,OEIEKCCN_01170
Cluster_116,OCILAMFM_00577,LBGCNHPF_01977,OEIEKCCN_00450
Cluster_117,OCILAMFM_01395,LBGCNHPF_02683,OEIEKCCN_04306
Cluster_118,OCILAMFM_02355,LBGCNHPF_01082,OEIEKCCN_01546
Cluster_119,OCILAMFM_00113,LBGCNHPF_02541,OEIEKCCN_02234
Cluster_120,OCILAMFM_01432,LBGCNHPF_02713,OEIEKCCN_04276
Cluster_121,OCILAMFM_02413,LBGCNHPF_03971,OEIEKCCN_01492
Cluster_122,OCILAMFM_03875,LBGCNHPF_00151,OEIEKCCN_03487;OEIEKCCN_04044
Cluster_123,OCILAMFM_01696,LBGCNHPF_03408,OEIEKCCN_00013
Cluster_124,,LBGCNHPF_00725,OEIEKCCN_01897
Cluster_125,OCILAMFM_03480,LBGCNHPF_00565,OEIEKCCN_01065
Cluster_126,OCILAMFM_00120,LBGCNHPF_02549,OEIEKCCN_02241
Cluster_127,OCILAMFM_03632,LBGCNHPF_00382,OEIEKCCN_01227
Cluster_128,,LBGCNHPF_04448,
Cluster_129,OCILAMFM_00605,LBGCNHPF_03204,OEIEKCCN_00466
Cluster_130,OCILAMFM_03045,LBGCNHPF_01348,OEIEKCCN_00693
Cluster_131,OCILAMFM_01434,LBGCNHPF_02715,OEIEKCCN_04274
Cluster_132,OCILAMFM_02194,LBGCNHPF_00921,OEIEKCCN_01701
Cluster_133,OCILAMFM_03581,LBGCNHPF_00444,OEIEKCCN_01166
Cluster_134,,LBGCNHPF_04322,
Cluster_135,OCILAMFM_02373,LBGCNHPF_04476,OEIEKCCN_01531
Cluster_136,,LBGCNHPF_00735,OEIEKCCN_01887
Cluster_137,OCILAMFM_02518,LBGCNHPF_03757,OEIEKCCN_00184
Cluster_138,OCILAMFM_04173,,
Cluster_139,OCILAMFM_02782,LBGCNHPF_02943,OEIEKCCN_03242
Cluster_140,OCILAMFM_00045,,
Cluster_141,OCILAMFM_00581,LBGCNHPF_03179,OEIEKCCN_00491
Cluster_142,,,OEIEKCCN_04221
Cluster_143,OCILAMFM_03005,LBGCNHPF_01390,OEIEKCCN_00653
Cluster_144,OCILAMFM_03179,LBGCNHPF_01270,OEIEKCCN_00771
Cluster_145,OCILAMFM_01039,LBGCNHPF_02099,OEIEKCCN_02672
Cluster_146,OCILAMFM_01746,LBGCNHPF_04043,OEIEKCCN_00257
Cluster_147,OCILAMFM_00612,LBGCNHPF_03211,OEIEKCCN_00459
Cluster_148,,LBGCNHPF_01583,OEIEKCCN_02305
Cluster_149,OCILAMFM_00199,,
Cluster_150,OCILAMFM_00246,,
Cluster_151,,,OEIEKCCN_04356
Cluster_152,OCILAMFM_01248,LBGCNHPF_03570,OEIEKCCN_04451
Cluster_153,OCILAMFM_02396,LBGCNHPF_03954,OEIEKCCN_01509
Cluster_154,OCILAMFM_02199,,
Cluster_155,,,OEIEKCCN_03678
Cluster_156,OCILAMFM_00336,LBGCNHPF_01768,OEIEKCCN_02435
Cluster_157,,LBGCNHPF_04214,
Cluster_158,,,OEIEKCCN_03641;OEIEKCCN_04198
Cluster_159,OCILAMFM_01529,LBGCNHPF_02826,OEIEKCCN_04565
Cluster_160,OCILAMFM_03080,LBGCNHPF_01313,OEIEKCCN_00728
Cluster_161,OCILAMFM_01444,LBGCNHPF_02725,OEIEKCCN_04264
Cluster_162,OCILAMFM_03159,,
Cluster_163,OCILAMFM_02665,LBGCNHPF_03063,OEIEKCCN_03361
Cluster_164,OCILAMFM_03874,,
Cluster_165,OCILAMFM_00968,LBGCNHPF_02170,OEIEKCCN_02743
Cluster_166,,,OEIEKCCN_03769
Cluster_167,OCILAMFM_02047,LBGCNHPF_00820,OEIEKCCN_01802
Cluster_168,,LBGCNHPF_02178,
Cluster_169,OCILAMFM_02395,LBGCNHPF_03953,OEIEKCCN_01510
Cluster_170,OCILAMFM_02252,LBGCNHPF_00974,OEIEKCCN_01654
Cluster_171,,,OEIEKCCN_04027
Cluster_172,OCILAMFM_02154,,
Cluster_173,OCILAMFM_01274,LBGCNHPF_03596,OEIEKCCN_04425
Cluster_174,OCILAMFM_02485,LBGCNHPF_03789,OEIEKCCN_00151
Cluster_175,OCILAMFM_02026,LBGCNHPF_00799,OEIEKCCN_01823
Cluster_176,OCILAMFM_01694,LBGCNHPF_03406,OEIEKCCN_00015
Cluster_177,OCILAMFM_00391,LBGCNHPF_01819,OEIEKCCN_02486
Cluster_178,OCILAMFM_02907,LBGCNHPF_01499,OEIEKCCN_03118
Cluster_179,OCILAMFM_01848,LBGCNHPF_00617,OEIEKCCN_02004
Cluster_180,OCILAMFM_00880,LBGCNHPF_02264,OEIEKCCN_02823
Cluster_181,OCILAMFM_02673,LBGCNHPF_03055,OEIEKCCN_03353
Cluster_182,,LBGCNHPF_00424,OEIEKCCN_01185
Cluster_183,OCILAMFM_02055,LBGCNHPF_00828,OEIEKCCN_01794
Cluster_184,OCILAMFM_01494,LBGCNHPF_02791,OEIEKCCN_04530
Cluster_185,OCILAMFM_01519,LBGCNHPF_02817,OEIEKCCN_04556
Cluster_186,OCILAMFM_01109,,
Cluster_187,OCILAMFM_02423,LBGCNHPF_03981,OEIEKCCN_01482
Cluster_188,OCILAMFM_01268,LBGCNHPF_03590,OEIEKCCN_04431
Cluster_189,OCILAMFM_01984,,
Cluster_190,OCILAMFM_02196,,
Cluster_191,OCILAMFM_03803,LBGCNHPF_00225,OEIEKCCN_03953;OEIEKCCN_01388
Cluster_192,OCILAMFM_03705,LBGCNHPF_00306,OEIEKCCN_01301
Cluster_193,,LBGCNHPF_04159,
Cluster_194,OCILAMFM_03948,LBGCNHPF_00078,OEIEKCCN_04116;OEIEKCCN_03559
Cluster_195,OCILAMFM_02722,LBGCNHPF_03003,OEIEKCCN_03301
Cluster_196,,,OEIEKCCN_04043;OEIEKCCN_03486
Cluster_197,OCILAMFM_03933,LBGCNHPF_00093,OEIEKCCN_04101;OEIEKCCN_03544
Cluster_198,,LBGCNHPF_00152,
Cluster_199,OCILAMFM_02281,LBGCNHPF_01008,OEIEKCCN_01620
Cluster_200,OCILAMFM_01005,LBGCNHPF_02133,OEIEKCCN_02706
Cluster_201,OCILAMFM_01540,LBGCNHPF_02836,OEIEKCCN_04575
Cluster_202,OCILAMFM_03818,LBGCNHPF_00210,OEIEKCCN_01403;OEIEKCCN_03968
Cluster_203,OCILAMFM_02285,LBGCNHPF_01012,OEIEKCCN_01616
Cluster_204,OCILAMFM_04188,LBGCNHPF_02352,OEIEKCCN_02048
Cluster_205,OCILAMFM_02105,LBGCNHPF_00877,OEIEKCCN_01745
Cluster_206,OCILAMFM_03450,LBGCNHPF_00594,OEIEKCCN_01037
Cluster_207,OCILAMFM_02610,LBGCNHPF_03117,OEIEKCCN_03414
Cluster_208,,,OEIEKCCN_00330
Cluster_209,OCILAMFM_01112,LBGCNHPF_02026,OEIEKCCN_02599
Cluster_210,OCILAMFM_01258,LBGCNHPF_03580,OEIEKCCN_04441
Cluster_211,,,OEIEKCCN_04236
Cluster_212,OCILAMFM_00402,LBGCNHPF_01830,OEIEKCCN_02497
Cluster_213,,,OEIEKCCN_04016;OEIEKCCN_01451
Cluster_214,OCILAMFM_03598,LBGCNHPF_00416,OEIEKCCN_01193
Cluster_215,OCILAMFM_01260,LBGCNHPF_03582,OEIEKCCN_04439
Cluster_216,OCILAMFM_04196,LBGCNHPF_02366,OEIEKCCN_02059
Cluster_217,OCILAMFM_02909,LBGCNHPF_01497,OEIEKCCN_03116
Cluster_218,OCILAMFM_00939,LBGCNHPF_02210,OEIEKCCN_02769
Cluster_219,,,OEIEKCCN_03683
Cluster_220,OCILAMFM_02126,,
Cluster_221,OCILAMFM_00122,LBGCNHPF_02551,OEIEKCCN_02243
Cluster_222,OCILAMFM_03018,LBGCNHPF_01377,OEIEKCCN_00666
Cluster_223,OCILAMFM_00314,LBGCNHPF_01751,OEIEKCCN_02418
Cluster_224,OCILAMFM_03003,LBGCNHPF_01392,OEIEKCCN_00651
Cluster_225,OCILAMFM_00893,LBGCNHPF_02251,OEIEKCCN_02810
Cluster_226,OCILAMFM_00691,LBGCNHPF_03296,OEIEKCCN_03002
Cluster_227,,LBGCNHPF_04187,
Cluster_228,OCILAMFM_01766,LBGCNHPF_04062,OEIEKCCN_00238
Cluster_229,OCILAMFM_01316,LBGCNHPF_02608,OEIEKCCN_04389
Cluster_230,OCILAMFM_03026,LBGCNHPF_01369,OEIEKCCN_00674
Cluster_231,OCILAMFM_02942,LBGCNHPF_01460,OEIEKCCN_00576
Cluster_232,OCILAMFM_01433,LBGCNHPF_02714,OEIEKCCN_04275
Cluster_233,OCILAMFM_00218,LBGCNHPF_01600,OEIEKCCN_02323
Cluster_234,OCILAMFM_00673,LBGCNHPF_03277,OEIEKCCN_03021
Cluster_235,OCILAMFM_04026,,OEIEKCCN_04205;OEIEKCCN_03648
Cluster_236,OCILAMFM_00641,LBGCNHPF_03246,OEIEKCCN_03052
Cluster_237,OCILAMFM_04184,LBGCNHPF_02348,OEIEKCCN_02044
Cluster_238,OCILAMFM_00371,LBGCNHPF_01800,OEIEKCCN_02467
Cluster_239,OCILAMFM_04023,LBGCNHPF_00002,OEIEKCCN_03635;OEIEKCCN_04192
Cluster_240,OCILAMFM_04254,LBGCNHPF_02426,OEIEKCCN_02119
Cluster_241,OCILAMFM_03856,LBGCNHPF_00170,OEIEKCCN_04008;OEIEKCCN_01443
Cluster_242,OCILAMFM_03312,LBGCNHPF_01146,OEIEKCCN_00895
Cluster_243,OCILAMFM_02721,LBGCNHPF_03004,OEIEKCCN_03302
Cluster_244,OCILAMFM_02399,LBGCNHPF_03957,OEIEKCCN_01506
Cluster_245,OCILAMFM_01690,LBGCNHPF_03402,OEIEKCCN_00019
Cluster_246,OCILAMFM_01781,LBGCNHPF_04077,OEIEKCCN_00223
Cluster_247,OCILAMFM_01278,LBGCNHPF_03600,OEIEKCCN_04421
Cluster_248,,LBGCNHPF_02370,OEIEKCCN_02063
Cluster_249,OCILAMFM_04259,LBGCNHPF_02431,OEIEKCCN_02124
Cluster_250,OCILAMFM_02398,LBGCNHPF_03956,OEIEKCCN_01507
Cluster_251,OCILAMFM_04396,LBGCNHPF_04106,OEIEKCCN_00320
Cluster_252,OCILAMFM_01344,LBGCNHPF_02633,OEIEKCCN_04364
Cluster_253,OCILAMFM_00833,LBGCNHPF_02309,OEIEKCCN_02868
Cluster_254,,LBGCNHPF_02184,
Cluster_255,OCILAMFM_01946,LBGCNHPF_00714,OEIEKCCN_01908
Cluster_256,OCILAMFM_01752,LBGCNHPF_04049,OEIEKCCN_00251
Cluster_257,OCILAMFM_00681,LBGCNHPF_03285,OEIEKCCN_03013
Cluster_258,OCILAMFM_02929,LBGCNHPF_01477,OEIEKCCN_03096
Cluster_259,OCILAMFM_00109,LBGCNHPF_02537,OEIEKCCN_02230
Cluster_260,OCILAMFM_00367,LBGCNHPF_01796,OEIEKCCN_02463
Cluster_261,OCILAMFM_03055,LBGCNHPF_01338,OEIEKCCN_00703
Cluster_262,OCILAMFM_00230,LBGCNHPF_01612,OEIEKCCN_02335
Cluster_263,OCILAMFM_01108,,
Cluster_264,OCILAMFM_00565,LBGCNHPF_01966,OEIEKCCN_00439
Cluster_265,OCILAMFM_02433,LBGCNHPF_03991,OEIEKCCN_01472
Cluster_266,OCILAMFM_00799,LBGCNHPF_03919,OEIEKCCN_02900
Cluster_267,OCILAMFM_00163,LBGCNHPF_02583,OEIEKCCN_02275
Cluster_268,OCILAMFM_03816,LBGCNHPF_00212,OEIEKCCN_01401;OEIEKCCN_03966
Cluster_269,OCILAMFM_03067,LBGCNHPF_01326,OEIEKCCN_00715
Cluster_270,OCILAMFM_00782,LBGCNHPF_03903,OEIEKCCN_02916
Cluster_271,OCILAMFM_03993,LBGCNHPF_00033,OEIEKCCN_03604;OEIEKCCN_04161
Cluster_272,OCILAMFM_01609,LBGCNHPF_03325,OEIEKCCN_00095
Cluster_273,OCILAMFM_04355,,
Cluster_274,OCILAMFM_01057,LBGCNHPF_02081,OEIEKCCN_02654
Cluster_275,OCILAMFM_01042,LBGCNHPF_02096,OEIEKCCN_02669
Cluster_276,OCILAMFM_00814,LBGCNHPF_02328,OEIEKCCN_02887
Cluster_277,OCILAMFM_01571,LBGCNHPF_02866,OEIEKCCN_04605
Cluster_278,OCILAMFM_00463,,
Cluster_279,OCILAMFM_01250,LBGCNHPF_03572,OEIEKCCN_04449
Cluster_280,OCILAMFM_00876,LBGCNHPF_02268,OEIEKCCN_02827
Cluster_281,OCILAMFM_03962,LBGCNHPF_00064,OEIEKCCN_04130;OEIEKCCN_03573
Cluster_282,,LBGCNHPF_01884,
Cluster_283,OCILAMFM_04070,LBGCNHPF_03434,OEIEKCCN_03708
Cluster_284,OCILAMFM_00467,,
Cluster_285,OCILAMFM_03091,LBGCNHPF_01302,OEIEKCCN_00739
Cluster_286,OCILAMFM_00977,LBGCNHPF_02161,OEIEKCCN_02734
Cluster_287,OCILAMFM_01607,LBGCNHPF_03323,OEIEKCCN_00097
Cluster_288,OCILAMFM_01203,LBGCNHPF_03525,OEIEKCCN_04498
Cluster_289,OCILAMFM_01904,LBGCNHPF_00673,OEIEKCCN_01948
Cluster_290,OCILAMFM_00553,LBGCNHPF_01947,OEIEKCCN_00420
Cluster_291,OCILAMFM_01445,LBGCNHPF_02727,OEIEKCCN_04263
Cluster_292,OCILAMFM_01838,LBGCNHPF_00606,OEIEKCCN_02014
Cluster_293,OCILAMFM_03424,LBGCNHPF_03697,OEIEKCCN_01011
Cluster_294,,,OEIEKCCN_03780
Cluster_295,OCILAMFM_01231,LBGCNHPF_03553,OEIEKCCN_04470
Cluster_296,OCILAMFM_00337,LBGCNHPF_01769,OEIEKCCN_02436
Cluster_297,OCILAMFM_00854,,
Cluster_298,OCILAMFM_01267,LBGCNHPF_03589,OEIEKCCN_04432
Cluster_299,OCILAMFM_01472,LBGCNHPF_02767,OEIEKCCN_04506
Cluster_300,OCILAMFM_03248,LBGCNHPF_01201,OEIEKCCN_00840
Cluster_301,OCILAMFM_00368,LBGCNHPF_01797,OEIEKCCN_02464
Cluster_302,OCILAMFM_01423,LBGCNHPF_02704,OEIEKCCN_04285
Cluster_303,OCILAMFM_03069,LBGCNHPF_01324,OEIEKCCN_00717
Cluster_304,OCILAMFM_01397,LBGCNHPF_02685,OEIEKCCN_04304
Cluster_305,OCILAMFM_01355,LBGCNHPF_02644,OEIEKCCN_04345
Cluster_306,OCILAMFM_03485,LBGCNHPF_00561,OEIEKCCN_01069
Cluster_307,OCILAMFM_00484,,
Cluster_308,OCILAMFM_00965,,
Cluster_309,,LBGCNHPF_04133,OEIEKCCN_00349
Cluster_310,OCILAMFM_02077,LBGCNHPF_00848,OEIEKCCN_01774
Cluster_311,OCILAMFM_02115,,
Cluster_312,OCILAMFM_00247,,
Cluster_313,OCILAMFM_00032,LBGCNHPF_02471,OEIEKCCN_02164
Cluster_314,OCILAMFM_03461,LBGCNHPF_00583,OEIEKCCN_01048
Cluster_315,OCILAMFM_02873,LBGCNHPF_01533,OEIEKCCN_03152
Cluster_316,OCILAMFM_01720,LBGCNHPF_04017,OEIEKCCN_00283
Cluster_317,OCILAMFM_00293,LBGCNHPF_01730,OEIEKCCN_02397
Cluster_318,OCILAMFM_01993,LBGCNHPF_00766,OEIEKCCN_01856
Cluster_319,OCILAMFM_03414,LBGCNHPF_03687,OEIEKCCN_01001
Cluster_320,OCILAMFM_03649,LBGCNHPF_00365,OEIEKCCN_01244
Cluster_321,OCILAMFM_00216,LBGCNHPF_01598,OEIEKCCN_02321
Cluster_322,OCILAMFM_00323,LBGCNHPF_01760,OEIEKCCN_02427
Cluster_323,OCILAMFM_03595,LBGCNHPF_00429,OEIEKCCN_01180
Cluster_324,OCILAMFM_00741,LBGCNHPF_03862,OEIEKCCN_02957
Cluster_325,OCILAMFM_02600,LBGCNHPF_03129,OEIEKCCN_03426
Cluster_326,OCILAMFM_03899,LBGCNHPF_00127,OEIEKCCN_03511;OEIEKCCN_04068
Cluster_327,OCILAMFM_03249,LBGCNHPF_01200,OEIEKCCN_00841
Cluster_328,OCILAMFM_01277,LBGCNHPF_03599,OEIEKCCN_04422
Cluster_329,,LBGCNHPF_04492,
Cluster_330,OCILAMFM_02733,LBGCNHPF_02992,OEIEKCCN_03290
Cluster_331,OCILAMFM_01960,,
Cluster_332,OCILAMFM_02402,LBGCNHPF_03960,OEIEKCCN_01503
Cluster_333,,,OEIEKCCN_02353
Cluster_334,OCILAMFM_00759,LBGCNHPF_03880,OEIEKCCN_02939
Cluster_335,,,OEIEKCCN_00570
Cluster_336,OCILAMFM_01371,LBGCNHPF_02659,OEIEKCCN_04330
Cluster_337,OCILAMFM_00503,LBGCNHPF_01897,OEIEKCCN_00370
Cluster_338,OCILAMFM_01142,LBGCNHPF_01997,OEIEKCCN_02570
Cluster_339,OCILAMFM_03770,LBGCNHPF_00250,OEIEKCCN_03927;OEIEKCCN_01363
Cluster_340,OCILAMFM_01131,LBGCNHPF_02008,OEIEKCCN_02581
Cluster_341,OCILAMFM_01896,LBGCNHPF_00665,OEIEKCCN_01956
Cluster_342,OCILAMFM_00238,LBGCNHPF_01620,OEIEKCCN_02343
Cluster_343,OCILAMFM_02800,LBGCNHPF_02925,OEIEKCCN_03224
Cluster_344,OCILAMFM_00050,,
Cluster_345,OCILAMFM_04199,LBGCNHPF_02368,OEIEKCCN_02061
Cluster_346,OCILAMFM_02881,LBGCNHPF_01525,OEIEKCCN_03144
Cluster_347,OCILAMFM_01067,LBGCNHPF_02071,OEIEKCCN_02644
Cluster_348,OCILAMFM_00253,LBGCNHPF_01690,OEIEKCCN_02357
Cluster_349,OCILAMFM_01323,LBGCNHPF_02615,OEIEKCCN_04382
Cluster_350,,LBGCNHPF_04305,
Cluster_351,OCILAMFM_03597,LBGCNHPF_00417,OEIEKCCN_01192
Cluster_352,OCILAMFM_02330,LBGCNHPF_01057,OEIEKCCN_01571
Cluster_353,OCILAMFM_02644,LBGCNHPF_03082,OEIEKCCN_03380
Cluster_354,,LBGCNHPF_01650,
Cluster_355,OCILAMFM_00952,,
Cluster_356,OCILAMFM_01807,LBGCNHPF_04341,OEIEKCCN_00502
Cluster_357,OCILAMFM_03504,LBGCNHPF_00542,OEIEKCCN_01088
Cluster_358,OCILAMFM_03525,LBGCNHPF_00521,OEIEKCCN_01109
Cluster_359,OCILAMFM_02030,LBGCNHPF_00803,OEIEKCCN_01819
Cluster_360,OCILAMFM_02204,LBGCNHPF_00923,OEIEKCCN_01699
Cluster_361,OCILAMFM_00979,LBGCNHPF_02159,OEIEKCCN_02732
Cluster_362,OCILAMFM_01476,LBGCNHPF_02771,OEIEKCCN_04510
Cluster_363,OCILAMFM_04270,,
Cluster_364,OCILAMFM_00257,LBGCNHPF_01694,OEIEKCCN_02361
