,GCA_918698235.1,GCA_014773485.1,GCA_024169515.1
Cluster_0,LBGCNHPF_02539,OEIEKCCN_02232,OCILAMFM_00111
Cluster_1,,OEIEKCCN_03649,OCILAMFM_04027
Cluster_2,,OEIEKCCN_04206,
Cluster_3,,,OCILAMFM_04171
Cluster_4,LBGCNHPF_03507,OEIEKCCN_03842,OCILAMFM_04138
Cluster_5,LBGCNHPF_00292,OEIEKCCN_03879;OEIEKCCN_01315,OCILAMFM_03717
Cluster_6,LBGCNHPF_02373,OEIEKCCN_02066,
Cluster_7,,OEIEKCCN_00329,
Cluster_8,,,OCILAMFM_01951
Cluster_9,LBGCNHPF_00667,OEIEKCCN_01954,OCILAMFM_01898
Cluster_10,LBGCNHPF_01831,OEIEKCCN_02498,OCILAMFM_00403
Cluster_11,LBGCNHPF_04321,,
Cluster_12,LBGCNHPF_02025,OEIEKCCN_02598,OCILAMFM_01113
Cluster_13,,OEIEKCCN_03077,
Cluster_14,LBGCNHPF_02341,,
Cluster_15,,,OCILAMFM_03346
Cluster_16,LBGCNHPF_02342,,
Cluster_17,,,OCILAMFM_00385
Cluster_18,LBGCNHPF_00925,OEIEKCCN_01697,OCILAMFM_02206
Cluster_19,LBGCNHPF_02182,,
Cluster_20,LBGCNHPF_01358,OEIEKCCN_00685,OCILAMFM_03037
Cluster_21,,OEIEKCCN_03684,
Cluster_22,LBGCNHPF_04331,OEIEKCCN_00512,OCILAMFM_01797
Cluster_23,LBGCNHPF_02724,OEIEKCCN_04265,OCILAMFM_01443
Cluster_24,LBGCNHPF_04330,OEIEKCCN_00513,OCILAMFM_01796
Cluster_25,,,OCILAMFM_04309
Cluster_26,LBGCNHPF_03626,OEIEKCCN_00937,OCILAMFM_03363
Cluster_27,LBGCNHPF_00957,OEIEKCCN_01671,OCILAMFM_02235
Cluster_28,LBGCNHPF_01851,OEIEKCCN_02518,OCILAMFM_00423
Cluster_29,LBGCNHPF_00378,OEIEKCCN_01231,OCILAMFM_03636
Cluster_30,LBGCNHPF_00733,OEIEKCCN_01889,
Cluster_31,LBGCNHPF_02003,OEIEKCCN_02576,OCILAMFM_01136
Cluster_32,LBGCNHPF_00816,OEIEKCCN_01806,OCILAMFM_02043
Cluster_33,LBGCNHPF_04430,OEIEKCCN_02028,OCILAMFM_01824
Cluster_34,,OEIEKCCN_03688,
Cluster_35,LBGCNHPF_00418,OEIEKCCN_01191,
Cluster_36,LBGCNHPF_00905,OEIEKCCN_01717,OCILAMFM_02179
Cluster_37,LBGCNHPF_00964,OEIEKCCN_01664,OCILAMFM_02242
Cluster_38,,,OCILAMFM_01977
Cluster_39,LBGCNHPF_00266,OEIEKCCN_01349;OEIEKCCN_03913,OCILAMFM_03754
Cluster_40,LBGCNHPF_01235,OEIEKCCN_00806,OCILAMFM_03214
Cluster_41,LBGCNHPF_03268,OEIEKCCN_03030,OCILAMFM_00664
Cluster_42,LBGCNHPF_01100,,
Cluster_43,LBGCNHPF_03221,,
Cluster_44,LBGCNHPF_03988,OEIEKCCN_01475,OCILAMFM_02430
Cluster_45,LBGCNHPF_01099,,
Cluster_46,LBGCNHPF_01208,OEIEKCCN_00833,OCILAMFM_03241
Cluster_47,LBGCNHPF_01383,OEIEKCCN_00660,OCILAMFM_03012
Cluster_48,LBGCNHPF_03083,OEIEKCCN_03381,
Cluster_49,,,OCILAMFM_01102
Cluster_50,,,OCILAMFM_03867
Cluster_51,LBGCNHPF_00159,OEIEKCCN_04024,
Cluster_52,,,OCILAMFM_04343
Cluster_53,LBGCNHPF_01927,OEIEKCCN_00400,OCILAMFM_00533
Cluster_54,LBGCNHPF_03270,OEIEKCCN_03028,OCILAMFM_00666
Cluster_55,LBGCNHPF_03164,OEIEKCCN_03461,OCILAMFM_02565
Cluster_56,LBGCNHPF_01641,,
Cluster_57,LBGCNHPF_02440,OEIEKCCN_02133,OCILAMFM_00003
Cluster_58,LBGCNHPF_00780,OEIEKCCN_01842,OCILAMFM_02007
Cluster_59,LBGCNHPF_04483,,
Cluster_60,,OEIEKCCN_04360,
Cluster_61,LBGCNHPF_01126,,
Cluster_62,,OEIEKCCN_04361,
Cluster_63,LBGCNHPF_00994,OEIEKCCN_01634,OCILAMFM_02273
Cluster_64,LBGCNHPF_01636,,
Cluster_65,LBGCNHPF_02741,OEIEKCCN_04249,OCILAMFM_01459
Cluster_66,,,OCILAMFM_03164
Cluster_67,LBGCNHPF_03288,OEIEKCCN_03010,OCILAMFM_00684
Cluster_68,LBGCNHPF_00420,OEIEKCCN_01189,
Cluster_69,LBGCNHPF_03092,OEIEKCCN_03390,OCILAMFM_02635
Cluster_70,LBGCNHPF_02180,,
Cluster_71,,,OCILAMFM_01979
Cluster_72,LBGCNHPF_03291,OEIEKCCN_03007,OCILAMFM_00687
Cluster_73,,,OCILAMFM_02112
Cluster_74,,,OCILAMFM_03786
Cluster_75,LBGCNHPF_02445,OEIEKCCN_02138,OCILAMFM_00008
Cluster_76,LBGCNHPF_01765,OEIEKCCN_02432,OCILAMFM_00333
Cluster_77,LBGCNHPF_01558,OEIEKCCN_03177,OCILAMFM_02847
Cluster_78,LBGCNHPF_03287,OEIEKCCN_03011,OCILAMFM_00683
Cluster_79,LBGCNHPF_03750,OEIEKCCN_00191,OCILAMFM_02526
Cluster_80,LBGCNHPF_03171,OEIEKCCN_03468,OCILAMFM_02560
Cluster_81,,,OCILAMFM_04352
Cluster_82,LBGCNHPF_02446,OEIEKCCN_02139,OCILAMFM_00009
Cluster_83,LBGCNHPF_00095,OEIEKCCN_03542;OEIEKCCN_04099,OCILAMFM_03931
Cluster_84,LBGCNHPF_02177,,
Cluster_85,LBGCNHPF_04173,,
Cluster_86,,,OCILAMFM_04388
