,GCA_018363095.1,GCA_005864085.1,GCA_019107585.1,GCA_007989685.1,GCA_002091995.1,GCA_008868595.1,GCA_032466035.1,GCA_032466055.1,GCA_002091975.1,GCA_015476095.1,GCA_001013375.1,GCA_037901485.1,GCA_034477985.1,GCA_028878205.1,GCA_002192215.1,GCA_030217405.1,GCA_030217425.1,GCA_030233995.1,GCA_030224725.1,GCA_000784405.1,GCA_000784375.1,GCA_000735255.1,GCA_030227945.1,GCA_028578945.1,GCA_000311945.1,GCA_000311965.1,GCA_000026525.1,GCA_959021285.1,GCA_028578865.1,GCA_026427555.1,GCA_025190495.1,GCA_036453305.1,GCA_025190605.1,GCA_030480425.1,GCA_024329385.1,GCA_024329345.1,GCA_022643065.1,GCA_022643295.1,GCA_022483205.1,GCA_030215365.1,GCA_024329605.1,GCA_030224505.1,GCA_030361365.1,GCA_030361125.1,GCA_025190575.1
Cluster_0,,,,,,,,,,,,,,BKFCMFHA_02337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster_1,BHCLOOGN_00732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster_2,,,IIKIHFAM_00669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster_4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster_5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FDANMOFE_00473,,,,,,,,,
Cluster_6,,,,,,PDJJOHAK_00378,AKAFKHIB_02093,PGEKGLPN_02098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster_7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster_9,,,,,,,,,,,,,,,,,FMALMFID_00332,,FGPAAJEO_00311,LOBNDOLK_01551,GANNJBHO_01593,EBGMPJNB_frag_01443_01444,,OLANGPCD_00557,,,LIFHEJKG_02405,CKJAHOFL_02283,JBBKAFNK_00639,,,,,,,,,,,,,,,,
Cluster_10,,,,,,,,,,,,,,,,,,,FGPAAJEO_01927,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster_13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DOMIIDFN_01642,,,,,,,,,,,
Cluster_14,,,,,,,AKAFKHIB_01035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cluster_15,,,,,,,,,,,,,,,,,,,,,,,,,,,LIFHEJKG_01530,,,HMJBHEOA_01531,,,,,,,,,,,,,,,
Cluster_16,,,,,,,,,,,,,,,,,,,,,,,,OLANGPCD_overlap_2_stop,,,LIFHEJKG_overlap_11_stop,,,,,,,,,,,,,,,,,,
Cluster_17,,,,,,,,,,,,,,,NFOMCPMJ_02161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
