gene,protein,reaction,model,BiGG_gene
G_1_A_83_1_5_comp1,P_1_A_83_1_5_comp1+1_A_83_1_5_comp2+1_A_83_1_5_comp3,R_1_A_83_1_5,TCDB,TCDB.1_A_83_1_5_comp1
G_1_A_83_1_5_comp2,P_1_A_83_1_5_comp1+1_A_83_1_5_comp2+1_A_83_1_5_comp3,R_1_A_83_1_5,TCDB,TCDB.1_A_83_1_5_comp2
G_1_A_83_1_5_comp3,P_1_A_83_1_5_comp1+1_A_83_1_5_comp2+1_A_83_1_5_comp3,R_1_A_83_1_5,TCDB,TCDB.1_A_83_1_5_comp3
G_1_A_59_1_2_comp1,P_1_A_59_1_2_comp1,R_1_A_59_1_2,TCDB,TCDB.1_A_59_1_2_comp1
G_8_B_26_1_3_comp1,P_8_B_26_1_3_comp1,R_8_B_26_1_3,TCDB,TCDB.8_B_26_1_3_comp1
G_8_A_219_1_1_comp1,P_8_A_219_1_1_comp1,R_8_A_219_1_1,TCDB,TCDB.8_A_219_1_1_comp1
G_3_A_1_12_16_comp1,P_3_A_1_12_16_comp1+3_A_1_12_16_comp2,R_3_A_1_12_16,TCDB,TCDB.3_A_1_12_16_comp1
G_3_A_1_12_16_comp2,P_3_A_1_12_16_comp1+3_A_1_12_16_comp2,R_3_A_1_12_16,TCDB,TCDB.3_A_1_12_16_comp2
G_1_A_9_5_14_comp1,P_1_A_9_5_14_comp1,R_1_A_9_5_14,TCDB,TCDB.1_A_9_5_14_comp1
G_1_C_4_8_1_comp1,P_1_C_4_8_1_comp1,R_1_C_4_8_1,TCDB,TCDB.1_C_4_8_1_comp1
G_1_G_3_1_9_comp1,P_1_G_3_1_9_comp1,R_1_G_3_1_9,TCDB,TCDB.1_G_3_1_9_comp1
G_9_B_97_5_5_comp1,P_9_B_97_5_5_comp1,R_9_B_97_5_5,TCDB,TCDB.9_B_97_5_5_comp1
G_3_E_1_1_11_comp1,P_3_E_1_1_11_comp1,R_3_E_1_1_11,TCDB,TCDB.3_E_1_1_11_comp1
G_3_E_1_1_15_comp1,P_3_E_1_1_15_comp1,R_3_E_1_1_15,TCDB,TCDB.3_E_1_1_15_comp1
G_1_B_162_1_1_comp1,P_1_B_162_1_1_comp1,R_1_B_162_1_1,TCDB,TCDB.1_B_162_1_1_comp1
G_1_C_137_1_8_comp1,P_1_C_137_1_8_comp1,R_1_C_137_1_8,TCDB,TCDB.1_C_137_1_8_comp1
G_3_D_3_5_7_comp1,P_3_D_3_5_7_comp1+3_D_3_5_7_comp2+3_D_3_5_7_comp3+3_D_3_5_7_comp4+3_D_3_5_7_comp5+3_D_3_5_7_comp6+3_D_3_5_7_comp7+3_D_3_5_7_comp8,R_3_D_3_5_7,TCDB,TCDB.3_D_3_5_7_comp1
G_3_D_3_5_7_comp2,P_3_D_3_5_7_comp1+3_D_3_5_7_comp2+3_D_3_5_7_comp3+3_D_3_5_7_comp4+3_D_3_5_7_comp5+3_D_3_5_7_comp6+3_D_3_5_7_comp7+3_D_3_5_7_comp8,R_3_D_3_5_7,TCDB,TCDB.3_D_3_5_7_comp2
G_3_D_3_5_7_comp3,P_3_D_3_5_7_comp1+3_D_3_5_7_comp2+3_D_3_5_7_comp3+3_D_3_5_7_comp4+3_D_3_5_7_comp5+3_D_3_5_7_comp6+3_D_3_5_7_comp7+3_D_3_5_7_comp8,R_3_D_3_5_7,TCDB,TCDB.3_D_3_5_7_comp3
G_3_D_3_5_7_comp4,P_3_D_3_5_7_comp1+3_D_3_5_7_comp2+3_D_3_5_7_comp3+3_D_3_5_7_comp4+3_D_3_5_7_comp5+3_D_3_5_7_comp6+3_D_3_5_7_comp7+3_D_3_5_7_comp8,R_3_D_3_5_7,TCDB,TCDB.3_D_3_5_7_comp4
G_3_D_3_5_7_comp5,P_3_D_3_5_7_comp1+3_D_3_5_7_comp2+3_D_3_5_7_comp3+3_D_3_5_7_comp4+3_D_3_5_7_comp5+3_D_3_5_7_comp6+3_D_3_5_7_comp7+3_D_3_5_7_comp8,R_3_D_3_5_7,TCDB,TCDB.3_D_3_5_7_comp5
G_3_D_3_5_7_comp6,P_3_D_3_5_7_comp1+3_D_3_5_7_comp2+3_D_3_5_7_comp3+3_D_3_5_7_comp4+3_D_3_5_7_comp5+3_D_3_5_7_comp6+3_D_3_5_7_comp7+3_D_3_5_7_comp8,R_3_D_3_5_7,TCDB,TCDB.3_D_3_5_7_comp6
G_3_D_3_5_7_comp7,P_3_D_3_5_7_comp1+3_D_3_5_7_comp2+3_D_3_5_7_comp3+3_D_3_5_7_comp4+3_D_3_5_7_comp5+3_D_3_5_7_comp6+3_D_3_5_7_comp7+3_D_3_5_7_comp8,R_3_D_3_5_7,TCDB,TCDB.3_D_3_5_7_comp7
G_3_D_3_5_7_comp8,P_3_D_3_5_7_comp1+3_D_3_5_7_comp2+3_D_3_5_7_comp3+3_D_3_5_7_comp4+3_D_3_5_7_comp5+3_D_3_5_7_comp6+3_D_3_5_7_comp7+3_D_3_5_7_comp8,R_3_D_3_5_7,TCDB,TCDB.3_D_3_5_7_comp8
G_3_E_1_7_11_comp1,P_3_E_1_7_11_comp1,R_3_E_1_7_11,TCDB,TCDB.3_E_1_7_11_comp1
G_2_A_46_1_11_comp1,P_2_A_46_1_11_comp1,R_2_A_46_1_11,TCDB,TCDB.2_A_46_1_11_comp1
G_1_A_1_10_22_comp1,P_1_A_1_10_22_comp1,R_1_A_1_10_22,TCDB,TCDB.1_A_1_10_22_comp1
G_8_A_23_1_53_comp1,P_8_A_23_1_53_comp1,R_8_A_23_1_53,TCDB,TCDB.8_A_23_1_53_comp1
G_3_E_4_1_1_comp1,P_3_E_4_1_1_comp1+3_E_4_1_1_comp2+3_E_4_1_1_comp3+3_E_4_1_1_comp4+3_E_4_1_1_comp5+3_E_4_1_1_comp6,R_3_E_4_1_1,TCDB,TCDB.3_E_4_1_1_comp1
G_3_E_4_1_1_comp2,P_3_E_4_1_1_comp1+3_E_4_1_1_comp2+3_E_4_1_1_comp3+3_E_4_1_1_comp4+3_E_4_1_1_comp5+3_E_4_1_1_comp6,R_3_E_4_1_1,TCDB,TCDB.3_E_4_1_1_comp2
G_3_E_4_1_1_comp3,P_3_E_4_1_1_comp1+3_E_4_1_1_comp2+3_E_4_1_1_comp3+3_E_4_1_1_comp4+3_E_4_1_1_comp5+3_E_4_1_1_comp6,R_3_E_4_1_1,TCDB,TCDB.3_E_4_1_1_comp3
G_3_E_4_1_1_comp4,P_3_E_4_1_1_comp1+3_E_4_1_1_comp2+3_E_4_1_1_comp3+3_E_4_1_1_comp4+3_E_4_1_1_comp5+3_E_4_1_1_comp6,R_3_E_4_1_1,TCDB,TCDB.3_E_4_1_1_comp4
G_3_E_4_1_1_comp5,P_3_E_4_1_1_comp1+3_E_4_1_1_comp2+3_E_4_1_1_comp3+3_E_4_1_1_comp4+3_E_4_1_1_comp5+3_E_4_1_1_comp6,R_3_E_4_1_1,TCDB,TCDB.3_E_4_1_1_comp5
G_3_E_4_1_1_comp6,P_3_E_4_1_1_comp1+3_E_4_1_1_comp2+3_E_4_1_1_comp3+3_E_4_1_1_comp4+3_E_4_1_1_comp5+3_E_4_1_1_comp6,R_3_E_4_1_1,TCDB,TCDB.3_E_4_1_1_comp6
G_3_A_1_5_49_comp1,P_3_A_1_5_49_comp1+3_A_1_5_49_comp2+3_A_1_5_49_comp3+3_A_1_5_49_comp4,R_3_A_1_5_49,TCDB,TCDB.3_A_1_5_49_comp1
G_3_A_1_5_49_comp2,P_3_A_1_5_49_comp1+3_A_1_5_49_comp2+3_A_1_5_49_comp3+3_A_1_5_49_comp4,R_3_A_1_5_49,TCDB,TCDB.3_A_1_5_49_comp2
G_3_A_1_5_49_comp3,P_3_A_1_5_49_comp1+3_A_1_5_49_comp2+3_A_1_5_49_comp3+3_A_1_5_49_comp4,R_3_A_1_5_49,TCDB,TCDB.3_A_1_5_49_comp3
G_3_A_1_5_49_comp4,P_3_A_1_5_49_comp1+3_A_1_5_49_comp2+3_A_1_5_49_comp3+3_A_1_5_49_comp4,R_3_A_1_5_49,TCDB,TCDB.3_A_1_5_49_comp4
G_3_D_6_1_5_comp1,P_3_D_6_1_5_comp1+3_D_6_1_5_comp2+3_D_6_1_5_comp3+3_D_6_1_5_comp4+3_D_6_1_5_comp5+3_D_6_1_5_comp6,R_3_D_6_1_5,TCDB,TCDB.3_D_6_1_5_comp1
G_3_D_6_1_5_comp2,P_3_D_6_1_5_comp1+3_D_6_1_5_comp2+3_D_6_1_5_comp3+3_D_6_1_5_comp4+3_D_6_1_5_comp5+3_D_6_1_5_comp6,R_3_D_6_1_5,TCDB,TCDB.3_D_6_1_5_comp2
