query,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
Cluster_0,634500.EbC_30340,0.0,5921.0,"COG2373@1|root,COG2911@1|root,COG2373@2|Bacteria,COG2911@2|Bacteria,1P8N9@1224|Proteobacteria,1T1IH@1236|Gammaproteobacteria",1236|Gammaproteobacteria,D,PFAM FecR protein,yeeJ,-,-,-,-,-,-,-,-,-,-,-,"Big_3_2,Big_3_3"
Cluster_1,640513.Entas_2043,0.0,6045.0,"COG0457@1|root,COG2373@1|root,COG2911@1|root,COG2931@1|root,COG3291@1|root,COG0457@2|Bacteria,COG2373@2|Bacteria,COG2911@2|Bacteria,COG2931@2|Bacteria,COG3291@2|Bacteria,1MU7T@1224|Proteobacteria,1RMZW@1236|Gammaproteobacteria",1236|Gammaproteobacteria,Q,"von willebrand factor, type A",lapA,-,-,ko:K12549,-,-,-,-,ko00000,-,-,-,"Big_3_2,Cadherin_3,Calx-beta,HemolysinCabind,VCBS,VWA,VWA_2"
Cluster_2,1399774.JDWH01000003_gene1022,0.0,4037.0,"COG1520@1|root,COG2373@1|root,COG2706@1|root,COG2911@1|root,COG2931@1|root,COG1520@2|Bacteria,COG2373@2|Bacteria,COG2706@2|Bacteria,COG2911@2|Bacteria,COG2931@2|Bacteria,1MU7T@1224|Proteobacteria,1RMZW@1236|Gammaproteobacteria",1236|Gammaproteobacteria,Q,"von willebrand factor, type A",lapA,-,-,ko:K12549,-,-,-,-,ko00000,-,-,-,"Big_3_2,Cadherin_3,Calx-beta,HemolysinCabind,VCBS,VWA,VWA_2"
Cluster_3,399741.Spro_4077,0.0,3595.0,"COG3210@1|root,COG3210@2|Bacteria,1MX2K@1224|Proteobacteria,1RNRK@1236|Gammaproteobacteria,401W8@613|Serratia",1236|Gammaproteobacteria,U,Large exoproteins involved in heme utilization or adhesion,-,-,-,ko:K15125,"ko05133,map05133",-,-,-,"ko00000,ko00001,ko00536",-,-,-,"ESPR,Fil_haemagg,Fil_haemagg_2,Haemagg_act,PT-VENN"
Cluster_4,1410619.SRDD_42430,0.0,4195.0,"COG1020@1|root,COG1020@2|Bacteria,1QK4F@1224|Proteobacteria,1RPAG@1236|Gammaproteobacteria,3ZZIT@613|Serratia",1236|Gammaproteobacteria,Q,TIGRFAM amino acid adenylation domain,-,-,-,-,-,-,-,-,-,-,-,-,"AMP-binding,AMP-binding_C,Condensation,PP-binding,Thioesterase"
Cluster_5,1006004.GBAG_1913,0.0,4150.0,"COG3459@1|root,COG3459@2|Bacteria,1MVNX@1224|Proteobacteria,1RMW9@1236|Gammaproteobacteria",1236|Gammaproteobacteria,G,Cellobiose phosphorylase,ndvB,-,"2.4.1.20,2.4.1.280","ko:K00702,ko:K18675","ko00500,ko00520,ko01100,map00500,map00520,map01100",-,"R00952,R09942",RC00049,"ko00000,ko00001,ko01000",-,"GH94,GT36",-,"Glyco_hydro_36,Glyco_transf_36,Glycoamylase"
Cluster_6,273526.SMDB11_1729,0.0,3617.0,"COG1020@1|root,COG1020@2|Bacteria,1QK4F@1224|Proteobacteria,1RPAG@1236|Gammaproteobacteria,3ZZIT@613|Serratia",1236|Gammaproteobacteria,Q,TIGRFAM amino acid adenylation domain,entF,-,6.3.2.14,ko:K02364,"ko01053,ko01110,ko01130,map01053,map01110,map01130",-,R07644,"RC00162,RC03046","ko00000,ko00001,ko01000,ko01008",-,-,-,"AMP-binding,AMP-binding_C,Condensation,PP-binding,Thioesterase"
Cluster_7,1123229.AUBC01000033_gene3559,0.0,1429.0,"COG0318@1|root,COG1020@1|root,COG0318@2|Bacteria,COG1020@2|Bacteria,1MU6G@1224|Proteobacteria,2TW3C@28211|Alphaproteobacteria,3K6MI@41294|Bradyrhizobiaceae",28211|Alphaproteobacteria,IQ,Phosphopantetheine attachment site,-,-,-,-,-,-,-,-,-,-,-,-,"AMP-binding,AMP-binding_C,Condensation,PP-binding,Thioesterase"
Cluster_8,1005995.GTPT_0124,0.0,1907.0,"COG3210@1|root,COG3210@2|Bacteria,1MX2K@1224|Proteobacteria,1RNRK@1236|Gammaproteobacteria,4BVVV@82986|Tatumella",1236|Gammaproteobacteria,U,Pre-toxin domain with VENN motif,fhaB,-,-,ko:K15125,"ko05133,map05133",-,-,-,"ko00000,ko00001,ko00536",-,-,-,"ESPR,Fil_haemagg,Fil_haemagg_2,Haemagg_act,PT-VENN"
Cluster_9,1076550.LH22_00505,0.0,1937.0,"COG2911@1|root,COG3468@1|root,COG2911@2|Bacteria,COG3468@2|Bacteria,1R8WV@1224|Proteobacteria,1RPXJ@1236|Gammaproteobacteria,3VZTS@53335|Pantoea",1236|Gammaproteobacteria,MU,Autotransporter beta-domain,-,-,-,ko:K19231,-,-,-,-,"ko00000,ko02000",1.B.12,-,-,"AIDA,Autotransporter,ESPR,PATR,Pertactin"
