query,seed_ortholog,evalue,score,eggNOG_OGs,max_annot_lvl,COG_category,Description,Preferred_name,GOs,EC,KEGG_ko,KEGG_Pathway,KEGG_Module,KEGG_Reaction,KEGG_rclass,BRITE,KEGG_TC,CAZy,BiGG_Reaction,PFAMs
Cluster_0,220668.lp_0578,0.0,10376.0,"COG1020@1|root,COG1020@2|Bacteria,1TPTH@1239|Firmicutes,4HAHU@91061|Bacilli,3F6T2@33958|Lactobacillaceae",91061|Bacilli,Q,AMP-binding enzyme,-,-,-,-,-,-,-,-,-,-,-,-,"AMP-binding,AMP-binding_C,Condensation,PP-binding"
Cluster_1,220668.lp_1303a,2.52e-291,972.0,"COG2911@1|root,COG5492@1|root,COG2911@2|Bacteria,COG5492@2|Bacteria,1UI5M@1239|Firmicutes,4ISEJ@91061|Bacilli,3F4B0@33958|Lactobacillaceae",91061|Bacilli,N,Cell shape-determining protein MreB,-,-,-,-,-,-,-,-,-,-,-,-,-
Cluster_2,220668.lp_1303a,0.0,1067.0,"COG2911@1|root,COG5492@1|root,COG2911@2|Bacteria,COG5492@2|Bacteria,1UI5M@1239|Firmicutes,4ISEJ@91061|Bacilli,3F4B0@33958|Lactobacillaceae",91061|Bacilli,N,Cell shape-determining protein MreB,-,-,-,-,-,-,-,-,-,-,-,-,-
Cluster_3,220668.lp_0800,0.0,3056.0,"COG3209@1|root,COG4886@1|root,COG3209@2|Bacteria,COG4886@2|Bacteria,1TT3P@1239|Firmicutes,4I28K@91061|Bacilli,3F4YY@33958|Lactobacillaceae",91061|Bacilli,M,Domain of unknown function (DUF5011),-,-,-,-,-,-,-,-,-,-,-,-,"Big_3,DUF285,Gram_pos_anchor"
Cluster_4,220668.lp_0800,0.0,3075.0,"COG3209@1|root,COG4886@1|root,COG3209@2|Bacteria,COG4886@2|Bacteria,1TT3P@1239|Firmicutes,4I28K@91061|Bacilli,3F4YY@33958|Lactobacillaceae",91061|Bacilli,M,Domain of unknown function (DUF5011),-,-,-,-,-,-,-,-,-,-,-,-,"Big_3,DUF285,Gram_pos_anchor"
Cluster_5,220668.lp_0800,0.0,2887.0,"COG3209@1|root,COG4886@1|root,COG3209@2|Bacteria,COG4886@2|Bacteria,1TT3P@1239|Firmicutes,4I28K@91061|Bacilli,3F4YY@33958|Lactobacillaceae",91061|Bacilli,M,Domain of unknown function (DUF5011),-,-,-,-,-,-,-,-,-,-,-,-,"Big_3,DUF285,Gram_pos_anchor"
Cluster_6,220668.lp_0800,0.0,3134.0,"COG3209@1|root,COG4886@1|root,COG3209@2|Bacteria,COG4886@2|Bacteria,1TT3P@1239|Firmicutes,4I28K@91061|Bacilli,3F4YY@33958|Lactobacillaceae",91061|Bacilli,M,Domain of unknown function (DUF5011),-,-,-,-,-,-,-,-,-,-,-,-,"Big_3,DUF285,Gram_pos_anchor"
Cluster_7,220668.lp_1303a,4.59e-298,965.0,"COG2911@1|root,COG5492@1|root,COG2911@2|Bacteria,COG5492@2|Bacteria,1UI5M@1239|Firmicutes,4ISEJ@91061|Bacilli,3F4B0@33958|Lactobacillaceae",91061|Bacilli,N,Cell shape-determining protein MreB,-,-,-,-,-,-,-,-,-,-,-,-,-
Cluster_8,220668.lp_1643,0.0,3797.0,"COG3266@1|root,COG5295@1|root,COG3266@2|Bacteria,COG5295@2|Bacteria,1VSP5@1239|Firmicutes,4HUK1@91061|Bacilli,3F4FY@33958|Lactobacillaceae",91061|Bacilli,M,LPXTG-motif cell wall anchor domain protein,-,-,-,-,-,-,-,-,-,-,-,-,"Gram_pos_anchor,MucBP"
Cluster_9,220668.lp_0800,0.0,3596.0,"COG3209@1|root,COG4886@1|root,COG3209@2|Bacteria,COG4886@2|Bacteria,1TT3P@1239|Firmicutes,4I28K@91061|Bacilli,3F4YY@33958|Lactobacillaceae",91061|Bacilli,M,Domain of unknown function (DUF5011),-,-,-,-,-,-,-,-,-,-,-,-,"Big_3,DUF285,Gram_pos_anchor"
