,tc_code,domain,kingdom_phylum,des_short,des_long,dir,tcat,cot,rev,chebi,bigg,rid,rstrings
0,1.A.1.1.1,Bacteria,Actinomycetota,"Two TMS K+ and water channel (conducts K+ (KD = 8 mM); blocked by Na+ (190 mM) (Renart et al., 2006) and tetrabutylammonium (Iwamoto et al., 2006))","Two TMS K+ and water channel (conducts K+ (KD = 8 mM); blocked by Na+ (190 mM) (Renart et al., 2006) and tetrabutylammonium (Iwamoto et al., 2006)). Ion permeation occurs by ion-ion contacts in single file fashion through the selectivity filter (Köpfer et al. 2014). A narrow pore lined with four arrays of carbonyl groups is responsible for
ion selectivity, whereas a conformational change of the four inner transmembrane helices (TMS2) is
involved in gating (Baker et al. 2007). Two gates have been identified; one is located at the inner bundle crossing and is activated by H+ while the second gate is in the selectivity filter (Rauh et al. 2017). The C-terminal domain mediates pH modulation (Hirano et al., 2011; Pau et al., 2007). KcsA exhibits a global twisting motion upon gating (Shimizu et al., 2008).  Activity is influenced by the phase of the lipid bilayer (Seeger et al. 2010), and occupancy of nonannular lipid binding sites increases the stability of the tetrameric complex (Triano et al. 2010).  The open conformation of KcsA can disturb the bilayer integrity and catalyze the flipping of
phospholipids (Nakao et al. 2014).  This protein is identical to the KcsA orthologue (P0A333) in Streptomyces coelicolor.  The stability of the pre domain in KcsA is stabilized by GCN4 (Yuchi et al. 2008).  The
potential role of pore hydration in channel gating has been evaluated (Blasic et al. 2015).  Having multiple K+ ions bound simultaneously
is required for selective K+ conduction, and a reduction in the number of bound K+ ions
destroys the multi-ion selectivity mechanism utilized by K+ channels (Medovoy et al. 2016).  The channel accomodates K+ and H2O molecules alternately in a K+-H2O-K+-H2O  series through the channel (Kratochvil et al. 2016). Insertion of KcsA is spontaneous and directional as the
cytosolic part of the protein does not translocate across the membrane barrier. Charged residues, not hydrophobic residues, are crucial for insertion of the unfolded protein
into the membrane via electrostatic interactions between
membrane and protein.  A two-step
mechanism was proposed. An initial electrostatic attraction between membrane and protein
represents the first step prior to insertion of hydrophobic residues into the hydrocarbon core of
the membrane (Altrichter et al. 2016). Bend, splay, and twist distinguish KcsA gate opening, filter opening, and filter-gate coupling, respectively (Mitchell and Leibler 2017). Details of the water permeability have been presented. Water flow through KcsA is halved by 200 mM K+ in the aqueous 
solution, which indicates an effective K+ dissociation constant in 
that range for a singly occupied channel. (Hoomann et al. 2013). A parameterized MARTINI program can be used to predict the hinging motions of the protein (Li et al. 2019). Activation of KcsA is initiated by proton binding to the pH gate upon an intracellular drop in pH which prompts a conformational switch, leading to a loss of affinity for potassium ions at the selectivity filter and therefore to channel inactivation (Rivera-Torres et al. 2016). An alteration in the conformational equilibrium of the intracellular K+-gate is one of the fundamental mechanisms underlying the dysfunctions of K+ channels caused by disease-related mutations (Iwahashi et al. 2020). Folding and misfolding of KcsA monomers during assembly and tetramerization has been examined (Song et al. 2021). The flexible C-terminus stabilizes KcsA tetramers at a neutral pH with decreased stabilization at acidic pH (Howarth and McDermott 2022). Under equilibrium conditions, in the absence of a transmembrane voltage, both water and K+ occupy the selectivity filter of the KcsA channel in the closed conductive state (Ryan et al. 2023).",{'uptake'},,,,"{'8345': 'potassium(1+)', '5585': 'water'}","{'8345': {'k'}, '5585': {'h2o'}}",R_1_A_1_1_1,"{'8345': set(), '5585': set()}"
1,1.A.1.2.30,Bacteria,Mycoplasmatota,"Potassium channel protein of 542 aas and 10 TMSs in a 2 + 2 + 6 TMS toplogy, where the last 6 TMSs comprise the voltage-gated K+ channel.","Potassium channel protein of 542 aas and 10 TMSs in a 2 + 2 + 6 TMS toplogy, where the last 6 TMSs comprise the voltage-gated K+ channel.",{'uptake'},,,,{},{},R_1_A_1_2_30,{}
2,1.A.1.4.12,,,"Synthetic light-sensitive K+ channel, BLINK2, of 406 aas and 2 TMSs with a P-loop between the two TMSs (residues 158 - 233)","Synthetic light-sensitive K+ channel, BLINK2, of 406 aas and 2 TMSs with a P-loop between the two TMSs (residues 158 - 233). Residues 8 - 142 are derived from residues 403 - 537 of NPH1-1, a light-sensitive ser/thr protein kinase of the oat plant, Avena sativa ( acc # AAC05083); residues 143 - 234 are derived from residues 3 - 94 of the Paramecium bursaria Chlorella virus 1 (PBCV-1) K+ channel, Kcv1 (TC# 1.A.1.12.1); residues 235 - 404 derive from residues 506 - 675 of another K+ channel protein, KAT1 (TC# 1.A.1.12.1). BLINK1 has been used to manipulate stomatal kinetics to improve carbon assimilation, water use, and growth of A. thaliana (Papanatsiou et al. 2019).",{'uptake'},,,,{'29103': 'potassium(1+)'},{'29103': {'k'}},R_1_A_1_4_12,{'29103': set()}
3,1.A.1.5.16,Bacteria,Cyanobacteriota,Cyanobacterial cyclic nuceotide K+ channel of 454 aas (Brams et al,Cyanobacterial cyclic nuceotide K+ channel of 454 aas (Brams et al. 2014).,{'uptake'},,,,{'8345': 'potassium(1+)'},{'8345': {'k'}},R_1_A_1_5_16,{'8345': set()}
4,1.A.1.5.17,Bacteria,Spirochaetota,"Cyclic nucleotide-gated K+channel, SthK, of 430 aas, probably with 6 TMSs in a 2 + 2 + 1 + P-loop + 1 TMS arrangement","Cyclic nucleotide-gated K+channel, SthK, of 430 aas, probably with 6 TMSs in a 2 + 2 + 1 + P-loop + 1 TMS arrangement.  The channel is activated by cAMP, not by cGMP, and is highly specific for K+ over Na+.  It has a C-terminal hydrophilic cAMP-binding domain linked to the 6 TMS channel domain (Brams et al. 2014). An SthK C-linker domain is essential for coupling cyclic nucleotide binding to channel opening (Evans et al. 2020). An agonist-dependent conformational change in which residues of the B'-helix displayed outward movement with respect to the symmetry axis of the channel in the presence of cAMP was observed, but not with the partial agonist, cGMP. This conformational rearrangement was observed both in detergent-solubilized SthK and in channels reconstituted into lipid nanodiscs. In addition to outward movement of the B'-helix, channel activation involves upward translation of the cytoplasmic domain with formation of state-dependent interactions between the C-linker and the transmembrane domain (Evans et al. 2020). Three-deminsional structures are available (7RSY_A-D). SthK is active in a sparsely tethered lipid bilayer membranes (Andersson et al. 2023).",{'uptake'},,,,{'8345': 'potassium(1+)'},{'8345': {'k'}},R_1_A_1_5_17,{'8345': set()}
5,1.A.1.5.27,,"Viridiplantae, Streptophyta",CNGC15 of 678 aas and 6 TMSs,"CNGC15 of 678 aas and 6 TMSs.  In Medicago truncatula, three such channels, CNGC15a, b and c, are required for nuclear calcium oscillations, spiking and subsequent symbiotic responses. These three channels form a complex with the potassium permeable channel, DMI1 (TC# 1.A.1.23.1), in the nuclear envelope.  They are expressed in flowers and pods, and mutants in these channels have decreased fertilization rates (Charpentier et al. 2016).",{'uptake'},,,,{'3308': 'calcium(2+)'},{'3308': {'ca2'}},R_1_A_1_5_27,{'3308': set()}
6,1.A.1.5.31,Bacteria,Spirochaetota,"Multi-domain cation channel with a C-terminal cyclic nucleotide-binding domain; of 465 aas and 6 TMS, LliK","Multi-domain cation channel with a C-terminal cyclic nucleotide-binding domain; of 465 aas and 6 TMS, LliK.  Cyclic nucleotide-gated (CNG) and hyperpolarization-activated cyclic nucleotide-regulated (HCN) channels play roles in phototransduction, olfaction, and cardiac pace making.  James et al. 2017 used cryoEM to determine the structure of the intact LliK CNG channel. A short S4-S5 linker connects voltage-sensing and pore domains to produce a non-domain-swapped transmembrane architecture. The conformation of the LliK structure may represent a functional state of this channel family not seen before (James et al. 2017).",{'uptake'},,,,"{'8345': 'potassium(1+)', '36915': 'inorganic cation'}","{'8345': {'k'}, '36915': set()}",R_1_A_1_5_31,"{'8345': set(), '36915': set()}"
7,1.A.1.5.35,Bacteria,Spirochaetota,"The cyclic ABP-gated K+ channel, SthK of 430 aas and 6 TMSs in a 2 + 2 + 1 + P-loop +1 TMS arrangement","The cyclic ABP-gated K+ channel, SthK of 430 aas and 6 TMSs in a 2 + 2 + 1 + P-loop +1 TMS arrangement. This channel and others have been studied by high-speed atomic force 
microscopy (HS-AFM) which has made it possible to characterized the 
conformational dynamics of single unlabeled transmembrane channels and 
transporters (Heath and Scheuring 2019).",{'uptake'},,,,{'8345': 'potassium(1+)'},{'8345': {'k'}},R_1_A_1_5_35,{'8345': set()}
8,1.A.1.10.15,,"Metazoa, Arthropoda",The sodium channel of 1989 aas and 24 TMSs,"The sodium channel of 1989 aas and 24 TMSs.  80% identical to the characterized channel of the crayfish (Astacus leptodactylus (Turkish narrow-clawed crayfish) (Pontastacus leptodactylus)) in which functional regions responsible for the selectivity filter, inactivation gate,
voltage sensor, and phosphorylation have been identified (Coskun and Purali 2016).",{'uptake'},,,,{'9175': 'sodium(1+)'},{'9175': {'na1'}},R_1_A_1_10_15,{'9175': set()}
9,1.A.1.11.29,,"Viridiplantae, Chlorophyta","Voltage-gated calcium channel (VDCC) of 3097 aas and 24 TMSs, Cav7 (Wheeler and Brownlee 2008)","Voltage-gated calcium channel (VDCC) of 3097 aas and 24 TMSs, Cav7 (Wheeler and Brownlee 2008). The photoreceptor potential in Chlamydomonas triggers the generation of all or no flagellar Ca2+ currents that cause membrane depolarization across the eyespot and 
flagella (Sanyal et al. 2023). Modulation in membrane potential causes changes in the 
flagellar waveform, and hence, alters the beating patterns of 
Chlamydomonas flagella. The eyespot membrane potential is 
rhodopsin-mediated and is generated by the photoreceptor Ca2+ current or P-current. However, flagellar Ca2+ currents are mediated by unidentified voltage-gated calcium (VGCC or 
CaV) and potassium channels (VGKC). The voltage-dependent ion channel 
that associates with ChRs to generate Ca2+ influx across the 
flagella and its cellular distribution has been 
identified. Sanyal et al. 2023 presented evidence on Chlamydomonas reinhardtii predicting that CrVGCC4 
localizes to the eyespot and flagella and associates 
with channelrhodopsins. Further in silico interactome analysis of 
CrVGCCs suggested that they interact with photoreceptor 
proteins, calcium signaling, and intraflagellar transport components. 
Expression analysis indicated that these VGCCs and their putative 
interactors can be perturbed by light stimuli. Thus, VGCCs in general, and VGCC4 in particular, might be 
involved in the regulation of the phototactic response of Chlamydomonas.",{'uptake'},,,,{'3308': 'calcium(2+)'},{'3308': {'ca2'}},R_1_A_1_11_29,{'3308': set()}
