,GCA_001633485.1,GCA_001639645.1,GCA_001633355.1,GCA_001633675.1,GCA_001633575.1,GCA_001633495.1,GCA_001633505.1,GCA_001633405.1,GCA_001633545.1,GCA_001633335.1,GCA_001633415.1,GCA_001633325.1,GCA_001639485.1,GCA_001633595.1,GCA_001633565.1,GCA_001633665.1,GCA_001633605.1,GCA_001633645.1,GCA_001308305.1,GCA_000203855.3,GCA_001633435.1
Cluster_0,,,,,,,,,,,,,,,,,,,,AHNHBFNE_00494,
Cluster_1,,,,,,,,,,,,,EMNCPJML_02686,,,,,,,,
Cluster_2,,PEOCBFCP_00824,,,,,,LLFCPLKD_02866,FNJAKAKL_02940,ECBNDIDM_01110,,IMJNKLBI_01098,,,PGJOJFNN_01640,ODFDBHOD_02832,IAPKCFHA_00800,BDHOLPHL_02927,DELEFPOC_02270,AHNHBFNE_01104,
Cluster_3,,,,,HKAMFFJN_02647,,,,FNJAKAKL_02032,ECBNDIDM_02040,LFPJLIBK_frag_01340_01341,IMJNKLBI_02084,EMNCPJML_02956,,,,IAPKCFHA_01604,BDHOLPHL_00985,DELEFPOC_01328,,
Cluster_4,,,,,,,GACBFOHJ_00606,LLFCPLKD_00861,,,,,,PLFJNGPA_00605,,ODFDBHOD_00927,,,,,
Cluster_5,,PEOCBFCP_02990,GKBMFCDM_02957,,,,,,,,,,,,,,,,,,
Cluster_6,LNKPBJJO_01633,,,GKMEBLJL_01697,,JOBNEEKL_03002,,,,,,,,,,,,,,,HBJIBEPC_02173
Cluster_7,,,,,,,,,,,,,,,,,,,,,HBJIBEPC_00715
Cluster_8,,PEOCBFCP_00146,GKBMFCDM_00144,GKMEBLJL_02320,,,GACBFOHJ_00265,LLFCPLKD_02095,,ECBNDIDM_00408,LFPJLIBK_00163,IMJNKLBI_00407,,PLFJNGPA_00265,PGJOJFNN_00247,ODFDBHOD_00280,IAPKCFHA_frag_00166_00167,BDHOLPHL_00164,DELEFPOC_02531,AHNHBFNE_01385,HBJIBEPC_00466
Cluster_9,,,,,,,,,,,,,,,,,,,,AHNHBFNE_00694,
Cluster_10,,,,,,,GACBFOHJ_00726,,,,,,,PLFJNGPA_00805,,,,,,,
Cluster_11,,,,,,,GACBFOHJ_02446,,FNJAKAKL_frag_01662_01663,,,,,PLFJNGPA_02306,,,,,,,HBJIBEPC_01279
Cluster_12,,PEOCBFCP_02571,GKBMFCDM_02537,GKMEBLJL_01299,HKAMFFJN_00395,,,LLFCPLKD_00607,,,LFPJLIBK_02616,,EMNCPJML_00658,,PGJOJFNN_00795,ODFDBHOD_02862,IAPKCFHA_01381,BDHOLPHL_01498,DELEFPOC_00906,AHNHBFNE_02602,
Cluster_13,,,,,,,,LLFCPLKD_01483,,,,,,,,ODFDBHOD_01530,,,,,
Cluster_14,LNKPBJJO_00002,,,,,JOBNEEKL_01584,,,,,,,,,,,,,,,
Cluster_15,,,,,HKAMFFJN_00897,,,,,ECBNDIDM_02462,LFPJLIBK_03064,IMJNKLBI_02577,EMNCPJML_00979,,,,,BDHOLPHL_02330,DELEFPOC_02130,,
Cluster_16,,,,,,,,,,ECBNDIDM_00994,,IMJNKLBI_00982,,,,,,,,,
Cluster_17,LNKPBJJO_01345,,,GKMEBLJL_02740,,JOBNEEKL_02776,,,FNJAKAKL_02348,,LFPJLIBK_01222,,,,,,,,,,
Cluster_18,,,,,,,,,,,,,EMNCPJML_01213,,,,,,,,
Cluster_19,,,,,HKAMFFJN_01932,,,,,,,,,,,,,,,,
Cluster_20,,,,,,,,LLFCPLKD_00889,,,LFPJLIBK_01100,,,,,ODFDBHOD_00955,,,,,
Cluster_21,,,,,,,,,FNJAKAKL_02640,,,,,,,,,,,,
Cluster_22,,,,,,,,,,,,,,,,,,BDHOLPHL_02332,DELEFPOC_02132,,
Cluster_23,,,,,HKAMFFJN_01955,,,,,,,,,,,,,,,,
Cluster_24,,,,,,,,,,,LFPJLIBK_03066,,,,,,,,,,
Cluster_25,,,,,HKAMFFJN_02315,,,,,,,,,,,,,,,,
Cluster_26,,,,,,,,,,ECBNDIDM_02464,,IMJNKLBI_02575,,,,,,,,,
Cluster_27,,,,,,,,,,,,,,,PGJOJFNN_01710,,,,,,
Cluster_28,,,,,,,,LLFCPLKD_01485,,,,,,,,ODFDBHOD_01532,,,,,
Cluster_29,,PEOCBFCP_00367,GKBMFCDM_00365,GKMEBLJL_00566,,,,,,,,,,,,,,,,,
Cluster_30,,,,,HKAMFFJN_00899,,,,,,,,,,,,,,,,
Cluster_31,,,,,,,GACBFOHJ_01574,,,,,,,PLFJNGPA_01639,,,,BDHOLPHL_02477,DELEFPOC_01672,,
Cluster_32,,,,,,,,LLFCPLKD_02701,,,,,,,,ODFDBHOD_02667,,,,,
Cluster_33,,,,,,,,,FNJAKAKL_02173,,,,,,,,,,,,
Cluster_34,,,,,,,,,,ECBNDIDM_00044,,IMJNKLBI_00044,,,,,,,,,
Cluster_35,LNKPBJJO_02129,,,,,JOBNEEKL_00502,,,,,,,,,,,,,,,
Cluster_36,LNKPBJJO_02870,,,,,JOBNEEKL_02062,,,FNJAKAKL_01405,,,,,,,,,,,,
Cluster_37,,,,,,,,,,,,,,,PGJOJFNN_02670,,,,,,
Cluster_38,LNKPBJJO_02599,,,,,JOBNEEKL_02230,,,,,,,,,,,,,,,
Cluster_39,,,,,,,,,,,,,,,,,IAPKCFHA_01475,,,,
Cluster_40,,,,,,,,,,,,,,,PGJOJFNN_02462,,,,,,
Cluster_41,,,,,,,,,,,LFPJLIBK_01632,,,,,,,,,,
Cluster_42,,,,,,,,,,ECBNDIDM_00992,,IMJNKLBI_00980,,,,,,,,,
Cluster_43,,,,,,,GACBFOHJ_02942,,FNJAKAKL_02175,,,,,PLFJNGPA_02936,,,,,,,
Cluster_44,LNKPBJJO_01757,,,,,JOBNEEKL_01788,,,,,,,,,,,,,,,
Cluster_45,,,,,,,,,,,,,EMNCPJML_00981,,,,,,,,
Cluster_46,LNKPBJJO_02834,PEOCBFCP_01302,GKBMFCDM_02147,GKMEBLJL_01051,HKAMFFJN_00082,JOBNEEKL_02026,GACBFOHJ_02534,LLFCPLKD_02544,FNJAKAKL_01368,ECBNDIDM_00081,LFPJLIBK_00494,IMJNKLBI_00081,EMNCPJML_00765,PLFJNGPA_02781,PGJOJFNN_02877,ODFDBHOD_02506,IAPKCFHA_00500,BDHOLPHL_00496,DELEFPOC_02861,AHNHBFNE_01720,HBJIBEPC_00134
Cluster_47,,,,,,JOBNEEKL_00596,,,,,,,,,,,,,,,
Cluster_48,,,,,,,GACBFOHJ_02280,,,,,,,PLFJNGPA_02472,,,,,,,
Cluster_49,,,,,,,,,FNJAKAKL_frag_00610_00611,,LFPJLIBK_01741,,,,,,,,,,HBJIBEPC_00737
Cluster_50,LNKPBJJO_00629,,,,,JOBNEEKL_00924,,LLFCPLKD_00207,,ECBNDIDM_02148,,IMJNKLBI_02208,,,,ODFDBHOD_02061,,,,AHNHBFNE_00248,
Cluster_51,,,,,,,,,,,,,EMNCPJML_00179,,PGJOJFNN_01346,,,,,,
Cluster_52,,PEOCBFCP_02110,GKBMFCDM_01763,GKMEBLJL_01252,HKAMFFJN_00348,,GACBFOHJ_02394,LLFCPLKD_00658,FNJAKAKL_01042,ECBNDIDM_frag_02760_02761,LFPJLIBK_02570,IMJNKLBI_frag_02827_02828,EMNCPJML_00608,PLFJNGPA_02358,PGJOJFNN_00842,ODFDBHOD_02912,IAPKCFHA_01334,BDHOLPHL_01451,DELEFPOC_00953,AHNHBFNE_02554,HBJIBEPC_01329
Cluster_53,,,,,,,,,,,,,,,,,,,,AHNHBFNE_02018,
Cluster_54,,,,,,,,,,,LFPJLIBK_02819,,,,,,,,,,
Cluster_55,,,,,,,,,,,,,,,,,IAPKCFHA_02774,,,AHNHBFNE_00585,
Cluster_56,,,,,HKAMFFJN_01317,,,,,,,,,,,,,,,,
Cluster_57,,,,,,,GACBFOHJ_02945,,,,,,,PLFJNGPA_02939,,,,,,,
Cluster_58,,PEOCBFCP_00989,GKBMFCDM_01084,GKMEBLJL_00311,,,GACBFOHJ_02226,,,,,,EMNCPJML_01308,PLFJNGPA_02290,,,IAPKCFHA_02226,BDHOLPHL_01733,DELEFPOC_00536,,
Cluster_59,,,,,,,,,,,,,,,,,,,,,HBJIBEPC_02908
Cluster_60,,,,,HKAMFFJN_01676,,,,,,,,,,PGJOJFNN_00735,,,,,,
