,accession,species,strain,niche
0,GCA_018363095.1,Lacticaseibacillus casei,FBL6,-
1,GCA_005864085.1,Lacticaseibacillus casei,FAM 20446,-
2,GCA_019107585.1,Lacticaseibacillus casei,N,-
3,GCA_007989685.1,Lacticaseibacillus casei,NBRC 101979,-
4,GCA_002091995.1,Lacticaseibacillus casei,GCRL 163,-
5,GCA_008868595.1,Lacticaseibacillus casei,BIO5773,-
6,GCA_032466035.1,Lacticaseibacillus casei,LMG 24102,-
7,GCA_032466055.1,Lacticaseibacillus casei,LMG 24099,-
8,GCA_002091975.1,Lacticaseibacillus casei,MJA 12,-
9,GCA_015476095.1,Lacticaseibacillus casei,MGB0470,-
10,GCA_001013375.1,Lacticaseibacillus casei,N87,-
11,GCA_037901485.1,Lacticaseibacillus casei,LC130,-
12,GCA_034477985.1,Lacticaseibacillus casei,M233-24W,-
13,GCA_028878205.1,Lacticaseibacillus casei,UD1001,-
14,GCA_002192215.1,Lacticaseibacillus casei,LC5,-
15,GCA_030217405.1,Lacticaseibacillus rhamnosus,UMB1344,-
16,GCA_030217425.1,Lacticaseibacillus rhamnosus,UMB1351A,-
17,GCA_030233995.1,Lacticaseibacillus rhamnosus,UMB8035A,-
18,GCA_030224725.1,Lacticaseibacillus rhamnosus,UMB1351B,-
19,GCA_000784405.1,Lacticaseibacillus rhamnosus,L31,-
20,GCA_000784375.1,Lacticaseibacillus rhamnosus,L34,-
21,GCA_000735255.1,Lacticaseibacillus rhamnosus,K32,-
22,GCA_030227945.1,Lacticaseibacillus rhamnosus,UMB8035B,-
23,GCA_028578945.1,Lacticaseibacillus rhamnosus,SR9-2,-
24,GCA_000311945.1,Lacticaseibacillus rhamnosus,LRHMDP2,-
25,GCA_000311965.1,Lacticaseibacillus rhamnosus,LRHMDP3,-
26,GCA_000026525.1,Lacticaseibacillus rhamnosus,Lc 705,-
27,GCA_959021285.1,Lacticaseibacillus rhamnosus,SRR13494523_bin.4_MetaWRAP_v1.3_MAG,-
28,GCA_028578865.1,Lacticaseibacillus rhamnosus,SR9-5,-
29,GCA_026427555.1,Lacticaseibacillus rhamnosus,VHProbi F20,-
30,GCA_025190495.1,Lacticaseibacillus paracasei,CIRM-BIA 288,-
31,GCA_036453305.1,Lacticaseibacillus paracasei,UW_AWMP_LACCAS1_1,-
32,GCA_025190605.1,Lacticaseibacillus paracasei,CIRM-BIA 279,-
33,GCA_030480425.1,Lacticaseibacillus paracasei,L14,-
34,GCA_024329385.1,Lacticaseibacillus paracasei,Kef-w17,-
35,GCA_024329345.1,Lacticaseibacillus paracasei,Kef-w19,-
36,GCA_022643065.1,Lacticaseibacillus paracasei,UW_TS_LACCAS1_5,-
37,GCA_022643295.1,Lacticaseibacillus paracasei,UW_TS_LACCAS1_4,-
38,GCA_022483205.1,Lacticaseibacillus paracasei,UW_TS_LACCAS1_2,-
39,GCA_030215365.1,Lacticaseibacillus paracasei,UMB7433A,-
40,GCA_024329605.1,Lacticaseibacillus paracasei,Kef-w7,-
41,GCA_030224505.1,Lacticaseibacillus paracasei,UMB7433B,-
42,GCA_030361365.1,Lacticaseibacillus paracasei,TOM.9,-
43,GCA_030361125.1,Lacticaseibacillus paracasei,TOM.15.25,-
44,GCA_025190575.1,Lacticaseibacillus paracasei,CIRM-BIA 770,-
